1,1,Gather Herbs,Collect 10 healing herbs from the forest,1,FOREST01
2,1,Wolf Hunt,Eliminate 5 wild wolves near the village,1,FOREST02
3,1,Lost Necklace,Find the missing necklace by the river,0,RIVER001
4,1,Bandit Camp,Clear out the nearby bandit camp,1,CAMP0001
5,1,Fisherman's Help,Catch 8 fish for the fisherman,1,LAKE0001
6,1,Ancient Relic,Retrieve a relic from the ruins,0,RUINS001
7,1,Escort Merchant,Escort the merchant to the next town,0,ROAD0001
8,1,Goblin Menace,Defeat 12 goblins in the hills,1,HILL0001
9,1,Lost Puppy,Find and return the lost puppy,0,VILLAGE1
10,1,Herbal Remedy,Deliver herbs to the healer,1,VILLAGE2
11,1,Ore Delivery,Mine and deliver 6 iron ores,1,MINE0001
12,1,Spider Infestation,Kill 10 cave spiders,1,CAVE0001
13,1,Hidden Treasure,Locate buried treasure in the desert,0,DESERT01
14,1,Guard Duty,Stand guard for the night,1,FORT0001
15,1,Missing Scout,Find the missing scout in the woods,0,FOREST03
16,1,Supply Run,Deliver supplies to outpost,1,OUTPOST1
17,1,Rat Problem,Eliminate 15 sewer rats,1,SEWER001
18,1,Magic Dust,Collect 5 magic dust from fairies,1,FOREST04
19,1,Ancient Book,Retrieve book from library ruins,0,RUINS002
20,1,Defend Village,Protect village from attackers,1,VILLAGE3
21,1,Golden Apple,Find the golden apple,0,FOREST05
22,1,Bridge Repair,Collect wood to fix the bridge,1,RIVER002
23,1,Hunting Boars,Hunt 7 wild boars,1,FOREST06
24,1,Rescue Farmer,Rescue trapped farmer,0,FARM0001
25,1,Crystal Shards,Collect 9 crystal shards,1,CAVE0002
26,1,Messenger Duty,Deliver a message to the king,0,CASTLE01
27,1,Firewood Gathering,Collect 12 firewood logs,1,FOREST07
28,1,Dark Ritual,Stop the cult ritual,0,CULT0001
29,1,Lost Map,Recover the lost map,0,DESERT02
30,1,Harvest Crops,Harvest 20 crops,1,FARM0002
31,1,Slay Dragon,Defeat the dragon,0,MOUNT001
32,1,Scout Area,Explore the marked region,1,PLAINS01
33,1,Water Delivery,Deliver fresh water barrels,1,VILLAGE4
34,1,Find Blacksmith,Locate missing blacksmith,0,TOWN0001
35,1,Guard Caravan,Protect caravan from raiders,1,ROAD0002
36,1,Ice Crystals,Collect ice crystals,1,TUNDRA01
37,1,Snow Wolves,Defeat 6 snow wolves,1,TUNDRA02
38,1,Hidden Cave,Explore hidden cave,0,CAVE0003
39,1,Magic Ring,Find enchanted ring,0,RUINS003
40,1,Alchemy Help,Collect ingredients for alchemist,1,TOWN0002
41,1,Clear Path,Remove obstacles from road,1,ROAD0003
42,1,Ancient Tree,Inspect the ancient tree,0,FOREST08
43,1,Fog Investigation,Investigate strange fog,0,SWAMP001
44,1,Swamp Beasts,Defeat swamp creatures,1,SWAMP002
45,1,Deliver Potion,Deliver potion to healer,1,VILLAGE5
46,1,Lost Soldier,Find lost soldier,0,BATTLE01
47,1,Weapon Test,Test new weapon on targets,1,FIELD001
48,1,Food Supplies,Bring food to camp,1,CAMP0002
49,1,Secret Letter,Deliver secret letter,0,CITY0001
50,1,Defeat Assassin,Eliminate hidden assassin,0,CITY0002
51,1,Training Session,Complete combat training,1,ARENA001
52,1,Mining Task,Mine 10 gold ores,1,MINE0002
53,1,Forest Patrol,Patrol forest perimeter,1,FOREST09
54,1,Capture Thief,Capture the thief,0,CITY0003
55,1,Rescue Child,Rescue lost child,0,FOREST10
56,1,Find Relics,Collect ancient relics,1,RUINS004
57,1,Ship Supplies,Deliver supplies to ship,1,PORT0001
58,1,Pirate Threat,Defeat pirates,1,SEA00001
59,1,Map Exploration,Explore unknown lands,1,MAP00001
60,1,Lost Artifact,Find lost artifact,0,DESERT03
61,1,Clean Well,Clean contaminated well,1,VILLAGE6
62,1,Guard Tower,Defend the tower,1,TOWER001
63,1,Ancient Puzzle,Solve ancient puzzle,0,RUINS005
64,1,Deliver Armor,Bring armor to knight,1,CASTLE02
65,1,Scout Enemy,Scout enemy camp,1,CAMP0003
66,1,Destroy Totem,Destroy cursed totem,0,SWAMP003
67,1,Collect Feathers,Collect 15 bird feathers,1,FOREST11
68,1,Hidden Enemy,Find hidden enemy agent,0,CITY0004
69,1,Escort Noble,Escort noble safely,0,ROAD0004
70,1,Train Horses,Train 3 horses,1,FARM0003
71,1,Clear Mine,Clear enemies from mine,1,MINE0003
72,1,Storm Investigation,Investigate magical storm,0,PLAINS02
73,1,Defend Gate,Defend city gate,1,CITY0005
74,1,Deliver Scroll,Deliver magic scroll,0,TOWER002
75,1,Find Herbs,Collect rare herbs,1,FOREST12
76,1,Hunt Bears,Hunt 4 bears,1,FOREST13
77,1,Lost Ring,Find lost ring,0,VILLAGE7
78,1,Repair Armor,Collect materials for armor,1,TOWN0003
79,1,Escort Prisoner,Escort captured prisoner,0,ROAD0005
80,1,Clear Ruins,Clear monsters from ruins,1,RUINS006
81,1,Magic Experiment,Assist mage experiment,0,TOWER003
82,1,Hidden Cache,Find hidden supply cache,0,PLAINS03
83,1,Scout River,Scout riverbank area,1,RIVER003
84,1,Deliver Message,Deliver urgent message,1,CITY0006
85,1,Protect Farm,Protect farm from pests,1,FARM0004
86,1,Defeat Ogre,Defeat the ogre,0,HILL0002
87,1,Collect Mushrooms,Collect 20 mushrooms,1,CAVE0004
88,1,Investigate Ruins,Investigate strange ruins,0,RUINS007
89,1,Lost Caravan,Find lost caravan,0,DESERT04
90,1,Guard Camp,Guard military camp,1,CAMP0004
91,1,Find Scroll,Locate ancient scroll,0,TOWER004
92,1,Eliminate Spies,Eliminate enemy spies,1,CITY0007
93,1,Collect Gems,Collect 10 gems,1,MINE0004
94,1,Rescue Knight,Rescue captured knight,0,CASTLE03
95,1,Patrol Border,Patrol borderlands,1,BORDER01
96,1,Slay Harpies,Defeat harpies,1,MOUNT002
97,1,Ancient Shrine,Visit ancient shrine,0,SHRINE01
98,1,Deliver Food,Deliver food supplies,1,VILLAGE8
99,1,Clear Forest,Clear forest threats,1,FOREST14
100,1,Final Battle,Defeat the final boss,0,BOSS0001
